COD_CLIENTE,FAMILIA_PRODUTO,LINHA_PRODUTO,INSTANTE,PRECO_VENDA,DEMANDA
CLIENTE4,MuitoBomPleno,V12,8,"608,4788771","3956,545455"
CLIENTE4,MuitoBomPleno,V12,9,"608,4788771","3956,545455"
CLIENTE4,MuitoBomPleno,V12,10,"608,4788771","3956,545455"
CLIENTE4,MuitoBomPleno,V12,11,"608,4788771","3956,545455"
CLIENTE4,MuitoBomPleno,V12,12,"608,4788771","3956,545455"
CLIENTE4,MuitoBomPleno,V12,13,"608,4788771",1872
CLIENTE4,MuitoBomPleno,V12,14,"608,4788771","2995,545455"
CLIENTE4,MuitoBomPleno,V12,15,"608,4788771","3956,545455"
CLIENTE5,MuitoBomPleno,V12,1,"608,4788771",1632
CLIENTE5,MuitoBomPleno,V12,2,"608,4788771",984
CLIENTE5,MuitoBomPleno,V12,3,"608,4788771",984
CLIENTE5,MuitoBomPleno,V12,4,"608,4788771",984
CLIENTE5,MuitoBomPleno,V12,5,"608,4788771",1245
CLIENTE5,MuitoBomPleno,V12,6,"608,4788771",984
CLIENTE5,MuitoBomPleno,V12,7,"608,4788771",984
CLIENTE5,MuitoBomPleno,V12,8,"608,4788771",1245
CLIENTE5,MuitoBomPleno,V12,9,"608,4788771",984
CLIENTE5,MuitoBomPleno,V12,10,"608,4788771",984
CLIENTE5,MuitoBomPleno,V12,11,"608,4788771",984
CLIENTE5,MuitoBomPleno,V12,12,"608,4788771",984
CLIENTE5,MuitoBomPleno,V12,13,"608,4788771",1632
CLIENTE5,MuitoBomPleno,V12,14,"608,4788771",984
CLIENTE5,MuitoBomPleno,V12,15,"608,4788771",984
CLIENTE5,ExcelenteSupremo,V7,1,"608,4788771",2016
CLIENTE5,ExcelenteSupremo,V7,2,"608,4788771",2016
CLIENTE5,ExcelenteSupremo,V7,3,"608,4788771",2016
CLIENTE5,ExcelenteSupremo,V7,4,"608,4788771",2016
CLIENTE5,ExcelenteSupremo,V7,5,"608,4788771",2016
CLIENTE5,ExcelenteSupremo,V7,6,"608,4788771",2016
CLIENTE5,ExcelenteSupremo,V7,7,"608,4788771",2016
CLIENTE5,ExcelenteSupremo,V7,8,"608,4788771",2016
CLIENTE5,ExcelenteSupremo,V7,9,"608,4788771",2016
CLIENTE5,ExcelenteSupremo,V7,10,"608,4788771",2016
CLIENTE5,ExcelenteSupremo,V7,11,"608,4788771",2016
CLIENTE5,ExcelenteSupremo,V7,12,"608,4788771",2016
CLIENTE5,ExcelenteSupremo,V7,13,"608,4788771",2016
CLIENTE5,ExcelenteSupremo,V7,14,"608,4788771",2016
CLIENTE5,ExcelenteSupremo,V7,15,"608,4788771",2016
CLIENTE607,InferiorRaso,V1,3,"608,4788771",500
CLIENTE607,InferiorRaso,V1,6,"608,4788771",500
CLIENTE607,InferiorRaso,V1,9,"608,4788771",500
CLIENTE607,InferiorRaso,V1,12,"608,4788771",500
CLIENTE607,InferiorRaso,V1,15,"608,4788771",500
CLIENTE6,InferiorRaso,V12,2,"608,4788771","2891,071353"
CLIENTE6,InferiorRaso,V12,3,"608,4788771","1100,331294"
CLIENTE6,InferiorRaso,V12,4,"608,4788771",3518
CLIENTE6,InferiorRaso,V12,5,"608,4788771","1883,643779"
CLIENTE6,InferiorRaso,V12,6,"608,4788771","1130,710721"
CLIENTE6,InferiorRaso,V12,7,"608,4788771","544,9471304"
CLIENTE6,InferiorRaso,V12,8,"608,4788771","470,0305533"
CLIENTE6,InferiorRaso,V12,9,"608,4788771","1145,359"
CLIENTE6,InferiorRaso,V12,11,"608,4788771","1032,025955"
CLIENTE6,InferiorRaso,V12,14,"608,4788771","2891,071353"
CLIENTE6,InferiorRaso,V12,15,"608,4788771","1100,331294"
CLIENTE6,MuitoBomPleno,V12,1,"608,4788771",6802
CLIENTE6,MuitoBomPleno,V12,2,"608,4788771","2213,199187"
CLIENTE6,MuitoBomPleno,V12,3,"608,4788771","5995,900187"
CLIENTE6,MuitoBomPleno,V12,4,"608,4788771","3496,497978"
CLIENTE6,MuitoBomPleno,V12,5,"608,4788771","5119,117023"
CLIENTE6,MuitoBomPleno,V12,6,"608,4788771","5891,028477"
CLIENTE6,MuitoBomPleno,V12,7,"608,4788771","6655,05287"
CLIENTE6,MuitoBomPleno,V12,8,"608,4788771","6729,969447"
CLIENTE6,MuitoBomPleno,V12,9,"608,4788771","6054,641"
CLIENTE6,MuitoBomPleno,V12,10,"608,4788771",7200
CLIENTE6,MuitoBomPleno,V12,11,"608,4788771","6167,974045"
CLIENTE6,MuitoBomPleno,V12,12,"608,4788771",7200
CLIENTE6,MuitoBomPleno,V12,13,"608,4788771",6802
CLIENTE6,MuitoBomPleno,V12,14,"608,4788771","2213,199187"
CLIENTE6,MuitoBomPleno,V12,15,"608,4788771","5995,900187"
CLIENTE6,ExcelenteSupremo,V12,2,"608,4788771","2895,72946"
CLIENTE6,ExcelenteSupremo,V12,3,"608,4788771","103,7685185"
CLIENTE6,ExcelenteSupremo,V12,4,"608,4788771","185,5020218"
CLIENTE6,ExcelenteSupremo,V12,5,"608,4788771","197,2391975"
CLIENTE6,ExcelenteSupremo,V12,6,"608,4788771","178,2608025"
CLIENTE6,ExcelenteSupremo,V12,14,"608,4788771","2895,72946"
CLIENTE6,ExcelenteSupremo,V12,15,"608,4788771","103,7685185"
CLIENTE7,MuitoBomPleno,V12,1,"608,4788771",1550
CLIENTE7,MuitoBomPleno,V12,2,"608,4788771",2000
CLIENTE7,MuitoBomPleno,V12,3,"608,4788771",2000
CLIENTE7,MuitoBomPleno,V12,4,"608,4788771",2000
CLIENTE7,MuitoBomPleno,V12,5,"608,4788771",2000
CLIENTE7,MuitoBomPleno,V12,6,"608,4788771",2000
CLIENTE7,MuitoBomPleno,V12,7,"608,4788771",2000
CLIENTE7,MuitoBomPleno,V12,8,"608,4788771",2000
CLIENTE7,MuitoBomPleno,V12,9,"608,4788771",2000
CLIENTE7,MuitoBomPleno,V12,10,"608,4788771",2000
CLIENTE7,MuitoBomPleno,V12,11,"608,4788771",2000
CLIENTE7,MuitoBomPleno,V12,12,"608,4788771",2000
CLIENTE7,MuitoBomPleno,V12,13,"608,4788771",1550
CLIENTE7,MuitoBomPleno,V12,14,"608,4788771",2000
CLIENTE7,MuitoBomPleno,V12,15,"608,4788771",2000
CLIENTE708,MuitoBomPleno,V16,1,"608,4788771",1200
CLIENTE708,MuitoBomPleno,V16,2,"608,4788771","1257,5"
CLIENTE708,MuitoBomPleno,V16,3,"608,4788771",1244
CLIENTE708,MuitoBomPleno,V16,4,"608,4788771",996
CLIENTE708,MuitoBomPleno,V16,5,"608,4788771","1261,5"
CLIENTE708,MuitoBomPleno,V16,6,"608,4788771",1078
CLIENTE708,MuitoBomPleno,V16,7,"608,4788771","1125,5"
CLIENTE708,MuitoBomPleno,V16,8,"608,4788771","1249,5"
CLIENTE708,MuitoBomPleno,V16,9,"608,4788771",1138
CLIENTE708,MuitoBomPleno,V16,10,"608,4788771","1121,5"
CLIENTE708,MuitoBomPleno,V16,11,"608,4788771","1234,5"
CLIENTE708,MuitoBomPleno,V16,12,"608,4788771","939,5"
CLIENTE708,MuitoBomPleno,V16,13,"608,4788771",1200
CLIENTE708,MuitoBomPleno,V16,14,"608,4788771","1257,5"
CLIENTE708,MuitoBomPleno,V16,15,"608,4788771",1244
CLIENTE708,MuitoBomPleno,V12,2,"608,4788771","1257,5"
CLIENTE708,MuitoBomPleno,V12,3,"608,4788771",1244
CLIENTE708,MuitoBomPleno,V12,4,"608,4788771",996
CLIENTE708,MuitoBomPleno,V12,5,"608,4788771","1261,5"
CLIENTE708,MuitoBomPleno,V12,6,"608,4788771",1078
CLIENTE708,MuitoBomPleno,V12,7,"608,4788771","1125,5"
CLIENTE708,MuitoBomPleno,V12,8,"608,4788771","1249,5"
CLIENTE708,MuitoBomPleno,V12,9,"608,4788771",1138
CLIENTE708,MuitoBomPleno,V12,10,"608,4788771","1121,5"
CLIENTE708,MuitoBomPleno,V12,11,"608,4788771","1234,5"
CLIENTE708,MuitoBomPleno,V12,12,"608,4788771","939,5"
CLIENTE708,MuitoBomPleno,V12,14,"608,4788771","1257,5"
CLIENTE708,MuitoBomPleno,V12,15,"608,4788771",1244
CLIENTE8,MuitoBomPleno,V5,1,"608,4788771",1125
CLIENTE8,MuitoBomPleno,V5,2,"608,4788771",1250
CLIENTE8,MuitoBomPleno,V5,3,"608,4788771",1250
CLIENTE8,MuitoBomPleno,V5,4,"608,4788771",1250
CLIENTE8,MuitoBomPleno,V5,5,"608,4788771",1250
CLIENTE8,MuitoBomPleno,V5,6,"608,4788771",1250
CLIENTE8,MuitoBomPleno,V5,7,"608,4788771",1250
CLIENTE8,MuitoBomPleno,V5,8,"608,4788771",1250
CLIENTE8,MuitoBomPleno,V5,9,"608,4788771",1250
CLIENTE8,MuitoBomPleno,V5,10,"608,4788771",1250
CLIENTE8,MuitoBomPleno,V5,11,"608,4788771",1250
CLIENTE8,MuitoBomPleno,V5,12,"608,4788771",1250
CLIENTE8,MuitoBomPleno,V5,13,"608,4788771",1125
CLIENTE8,MuitoBomPleno,V5,14,"608,4788771",1250
CLIENTE8,MuitoBomPleno,V5,15,"608,4788771",1250
CLIENTE430,InferiorRaso,V1,1,"608,4788771",450
CLIENTE430,InferiorRaso,V1,2,"608,4788771",500
CLIENTE430,InferiorRaso,V1,3,"608,4788771",500
CLIENTE430,InferiorRaso,V1,4,"608,4788771",500
CLIENTE430,InferiorRaso,V1,5,"608,4788771",500
CLIENTE430,InferiorRaso,V1,6,"608,4788771",500
CLIENTE430,InferiorRaso,V1,7,"608,4788771",500
CLIENTE430,InferiorRaso,V1,8,"608,4788771",500
CLIENTE430,InferiorRaso,V1,9,"608,4788771",500
